Año,Total, 0  a  4, 5  a  9,10 a 14,15 a 19,20 a 24,25 a 29,30 a 34,35 a 39,40 a 44,45 a 49,50 a 54,55 a 59,60 a 64,65 y más,Ignorado
2008,"32,017",21,58,178,"2,211","4,354","4,707","3,937","2,787","1,925","1,196",795,457,286,486,323
2009,"33,484",29,43,221,"2,748","5,955","6,190","5,154","3,816","2,472","1,682","1,039",621,421,757,349
2010,"36,107",36,54,224,"2,979","5,974","6,187","5,441","3,826","2,508","1,663","1,002",612,423,756,332
2011,"36,170",38,48,223,"3,070","6,213","6,261","5,599","4,121","2,600","1,768","1,117",674,472,842,438
2012,"34,330",21,78,242,"3,373","6,825","6,823","6,081","4,402","2,795","1,774","1,172",702,482,877,460
2013,"36,170",26,50,280,"3,420","6,780","6,816","6,056","4,287","2,913","1,789","1,241",727,509,848,428
2014,"34,330",57,86,304,"3,316","6,275","6,367","5,648","4,166","2,747","1,721","1,114",725,538,889,377
2015,"31,929",44,85,275,"2,895","5,998","5,972","5,162","3,985","2,505","1,539","1,046",713,496,915,299
2016,"31,190",41,76,240,"2,717","5,716","5,887","5,048","3,821","2,503","1,543","1,039",715,497,885,462
2017,"30,384",49,83,245,"2,369","5,677","5,714","4,687","3,873","2,490","1,676","1,008",681,500,943,389
2018,"29,992",35,79,183,"2,286","5,623","5,517","4,727","3,762","2,550","1,518","1,068",772,527,"1,020",325
2019,"31,898",36,71,185,"2,281","5,720","5,944","5,029","4,030","2,847","1,707","1,119",759,610,"1,168",392
2020,"28,259",32,66,161,"1,899","4,933","5,220","4,649","3,550","2,460","1,600","1,050",777,542,"1,005",315
2021,"36,435",25,76,187,"2,045","5,935","6,608","5,887","4,684","3,503","2,152","1,460",950,803,"1,412",708
2022,"37,194",40,62,211,"1,897","5,694","6,609","6,002","4,760","3,577","2,383","1,600","1,078",792,"1,598",891