Año,Total_Divorcios_Republica,Total_Denuncias_Intrafamiliar_República,Guatemala_Divorcios,Guatemala_Denuncias,El Progreso_Divorcios,El Progreso_Denuncias,Sacatepéquez_Divorcios,Sacatepéquez_Denuncias,Chimaltenango_Divorcios,Chimaltenango_Denuncias,Escuintla_Divorcios,Escuintla_Denuncias,Santa Rosa_Divorcios,Santa Rosa_Denuncias,Sololá_Divorcios,Sololá_Denuncias,Totonicapán_Divorcios,Totonicapán_Denuncias,Quetzaltenango_Divorcios,Quetzaltenango_Denuncias,Suchitepéquez_Divorcios,Suchitepéquez_Denuncias,Retalhuleu_Divorcios,Retalhuleu_Denuncias,San Marcos_Divorcios,San Marcos_Denuncias,Huehuetenango_Divorcios,Huehuetenango_Denuncias,Quiché_Divorcios,Quiché_Denuncias,Baja Verapaz_Divorcios,Baja Verapaz_Denuncias,Alta Verapaz_Divorcios,Alta Verapaz_Denuncias,Petén_Divorcios,Petén_Denuncias,Izabal_Divorcios,Izabal_Denuncias,Zacapa_Divorcios,Zacapa_Denuncias,Chiquimula_Divorcios,Chiquimula_Denuncias,Jalapa_Divorcios,Jalapa_Denuncias,Jutiapa_Divorcios,Jutiapa_Denuncias,Ignorado_Denuncias,Física,Psicológica,Sexual,Patrimonial,Física - psicológica,Física - sexual,Física - patrimonial,Psicológica - sexual,Psicológica - patrimonial,Sexual - patrimonial,Física - psicológica - sexual,Física - psicológica - patrimonial,Psicológica - sexual - patrimonial,Física - sexual - patrimonial,Física - psico - sexual - patrimonial,Hombre,Mujer, 0  a  4, 5  a  9,10 a 14,15 a 19,20 a 24,25 a 29,30 a 34,35 a 39,40 a 44,45 a 49,50 a 54,55 a 59,60 a 64,65 y más,Ignorado-Edad
2008,2834,23721,1052,5117,45,978,80,926,58,1167,92,1417,50,495,16,537,39,616,161,1435,199,1297,105,775,78,1501,57,836,63,769,69,871,106,1518,48,551,117,355,109,694,97,585,74,716,119,556,9,3765,6111,49,310,9572,56,115,83,1116,1,339,1912,28,7,257,2290,21431,21,58,178,2211,4354,4707,3937,2787,1925,1196,795,457,286,486,323
2009,3004,31497,1140,6692,41,1108,77,1368,59,1688,124,1654,92,1051,27,838,38,698,208,1442,125,1663,108,1126,89,2059,79,903,83,1302,59,1095,132,2037,49,759,82,946,100,854,79,644,85,766,128,713,91,4133,8552,78,449,13371,85,127,121,1519,7,450,2305,18,10,272,2985,28512,29,43,221,2748,5955,6190,5154,3816,2472,1682,1039,621,421,757,349
2010,3645,32017,1561,5792,63,1101,61,1356,38,1690,149,1163,77,953,41,994,46,686,233,1661,140,1723,115,1173,96,2207,80,1175,84,1622,75,1059,129,2501,94,914,130,937,115,628,73,777,77,856,168,803,246,4177,8145,65,296,14267,63,133,140,1326,5,445,2606,29,10,310,2858,29159,36,54,224,2979,5974,6187,5441,3826,2508,1663,1002,612,423,756,332
2011,4344,33484,1798,6122,82,1101,72,1492,57,1920,179,1088,106,857,46,882,64,627,293,1628,175,1957,123,1263,114,2272,126,1326,107,1676,54,1031,176,2639,92,1090,124,844,141,682,102,473,105,1244,208,1006,264,4014,9279,73,308,14425,61,164,128,1521,5,443,2718,41,8,296,2906,30578,38,48,223,3070,6213,6261,5599,4121,2600,1768,1117,674,472,842,438
2012,5157,36107,2152,6911,89,1039,71,1651,67,1785,176,1169,98,1082,48,1106,74,581,322,1706,217,2262,152,1565,126,2677,159,1782,109,1180,108,1151,175,3120,138,1049,219,744,149,654,133,391,106,1132,269,1192,178,3841,10190,72,305,15735,66,149,121,1710,4,479,3101,25,7,302,2967,33140,21,78,242,3373,6825,6823,6081,4402,2795,1774,1172,702,482,877,460
2013,5542,36170,2261,6581,86,1142,122,1783,82,1723,210,794,95,1441,52,1062,79,571,344,2057,242,2489,178,1640,122,2338,176,1848,151,741,116,1195,158,3343,156,1086,155,814,188,757,119,443,110,840,340,1203,279,4050,11188,94,265,14741,57,108,130,1850,6,439,2962,33,7,240,3252,32918,26,50,280,3420,6780,6816,6056,4287,2913,1789,1241,727,509,848,428
2014,5575,34330,2044,5777,114,1081,138,1584,124,1924,291,569,135,1321,57,996,100,634,370,1708,206,2503,137,1715,212,2210,170,1385,161,1158,121,1265,140,3253,125,981,163,672,147,703,162,465,114,976,344,1353,97,3632,10864,131,222,13783,53,84,153,1835,11,383,2942,21,3,213,3233,31097,57,86,304,3316,6275,6367,5648,4166,2747,1721,1114,725,538,889,377
2015,5726,31929,2185,6410,98,883,115,1613,125,1824,306,451,187,964,59,646,96,519,409,1790,163,2250,153,1512,240,2072,182,1024,147,1095,107,874,139,3485,159,1295,159,580,157,606,141,399,115,732,284,862,43,3584,10664,105,451,12528,62,63,154,1357,3,295,2446,21,11,185,3221,28708,44,85,275,2895,5998,5972,5162,3985,2505,1539,1046,713,496,915,299
2016,5665,31190,2142,6053,95,675,133,1477,106,1694,297,299,179,1040,63,542,86,486,405,1898,188,2238,187,1708,233,2035,176,1228,166,1002,115,771,114,3492,124,1282,189,584,148,538,158,429,126,594,235,1059,66,3972,10729,101,459,11570,59,84,111,1445,2,249,2269,11,8,121,3295,27895,41,76,240,2717,5716,5887,5048,3821,2503,1543,1039,715,497,885,462
2017,5808,30384,2075,5451,108,825,154,1623,129,1673,345,374,172,1089,67,550,108,445,459,1480,158,2048,153,1502,296,1842,187,1111,130,705,117,651,112,4240,154,1087,244,647,165,706,164,455,131,698,180,1139,43,3713,11993,150,435,10363,64,63,132,1420,8,234,1667,28,6,108,3675,26709,49,83,245,2369,5677,5714,4687,3873,2490,1676,1008,681,500,943,389
2018,6255,29992,2185,5398,115,1030,153,1776,147,1647,302,547,174,1224,71,485,135,394,536,1552,205,2073,153,1392,274,1751,193,1072,197,575,140,548,133,3873,167,799,241,795,161,635,174,566,148,534,251,1294,32,3483,11968,125,428,10137,47,53,99,1631,4,186,1699,12,3,117,3738,26254,35,79,183,2286,5623,5517,4727,3762,2550,1518,1068,772,527,1020,325
2019,8203,31898,3491,5462,146,1069,168,1308,172,1756,389,1313,208,1281,110,519,157,427,655,2017,244,2029,197,1805,315,1746,250,918,205,607,158,833,135,4379,189,827,213,709,198,775,183,540,186,383,234,1161,34,3861,13155,119,415,10813,57,63,121,1593,10,189,1369,16,4,113,4289,27609,36,71,185,2281,5720,5944,5029,4030,2847,1707,1119,759,610,1168,392
2020,4074,28259,1361,3379,68,889,85,1381,122,1868,172,1191,164,1208,41,525,88,454,375,1698,157,1815,119,1525,206,1698,138,834,147,363,50,912,102,3881,106,794,134,678,91,867,103,576,91,357,154,1327,39,3359,11534,110,261,9844,37,60,104,1474,2,115,1260,11,6,82,3728,24531,32,66,161,1899,4933,5220,4649,3550,2460,1600,1050,777,542,1005,315
2021,9621,36435,3339,7476,206,1252,189,1686,258,2136,496,1630,323,1542,96,479,180,546,768,1803,329,1928,312,1591,452,1616,399,888,280,612,171,1210,194,4402,258,1037,310,902,178,1167,269,511,243,387,371,1550,84,3976,16843,104,380,11370,47,61,137,1892,6,209,1279,24,14,93,4942,31493,25,76,187,2045,5935,6608,5887,4684,3503,2152,1460,950,803,1412,708
2022,9950,37194,3295,8268,179,1122,174,1689,210,2169,497,1745,316,1126,137,355,201,462,794,2106,485,1765,331,1575,565,1703,450,999,314,629,145,1331,198,4561,326,1043,286,918,195,903,212,475,238,456,402,1245,549,3735,18004,89,356,11466,57,62,171,1729,1,171,1263,11,7,72,5456,31738,40,62,211,1897,5694,6609,6002,4760,3577,2383,1600,1078,792,1598,891
